data_structure,data_size,data_file,add_time,search_time,nonexistant_search_time
hash,1000,rand.txt,0.01253509521484375,0.10027480125427246,0.14715790748596191
avl,1000,rand.txt,0.021727561950683594,0.03289461135864258,0.03191733360290527
binary,1000,rand.txt,0.008109331130981445,0.0372006893157959,0.038368940353393555
hash,1000,sorted.txt,0.009059429168701172,0.054723501205444336,0.12064099311828613
avl,1000,sorted.txt,0.024158477783203125,0.02808833122253418,0.028905630111694336
binary,1000,sorted.txt,0.00805807113647461,0.053093910217285156,0.052639007568359375
hash,2000,rand.txt,0.02052927017211914,0.08216691017150879,0.16235685348510742
avl,2000,rand.txt,0.05948829650878906,0.03547167778015137,0.03123164176940918
binary,2000,rand.txt,0.012206315994262695,0.04510211944580078,0.04538249969482422
hash,2000,sorted.txt,0.016337156295776367,0.06082272529602051,0.11931800842285156
avl,2000,sorted.txt,0.0482175350189209,0.02920675277709961,0.02995014190673828
binary,2000,sorted.txt,0.014326095581054688,0.054744720458984375,0.05545949935913086
hash,3000,rand.txt,0.030143022537231445,0.0870211124420166,0.1568737030029297
avl,3000,rand.txt,0.07011985778808594,0.03577876091003418,0.03640413284301758
binary,3000,rand.txt,0.021030664443969727,0.04583859443664551,0.04775357246398926
hash,3000,sorted.txt,0.020064353942871094,0.05545783042907715,0.11770510673522949
avl,3000,sorted.txt,0.0774688720703125,0.03522467613220215,0.03152966499328613
binary,3000,sorted.txt,0.021732807159423828,0.055298566818237305,0.05633997917175293
hash,4000,rand.txt,0.04131770133972168,0.12108063697814941,0.20316267013549805
avl,4000,rand.txt,0.09174132347106934,0.03496980667114258,0.03609323501586914
binary,4000,rand.txt,0.024152517318725586,0.044959306716918945,0.0488276481628418
hash,4000,sorted.txt,0.0263063907623291,0.05444169044494629,0.11694550514221191
avl,4000,sorted.txt,0.10639572143554688,0.033402442932128906,0.03543233871459961
binary,4000,sorted.txt,0.028187036514282227,0.06276726722717285,0.0613703727722168
hash,5000,rand.txt,0.047841548919677734,0.08678913116455078,0.1516892910003662
avl,5000,rand.txt,0.12034010887145996,0.03775835037231445,0.038121700286865234
binary,5000,rand.txt,0.03142595291137695,0.05048537254333496,0.05313277244567871
hash,5000,sorted.txt,0.0331728458404541,0.0545046329498291,0.12861967086791992
avl,5000,sorted.txt,0.1321883201599121,0.03153085708618164,0.03355979919433594
binary,5000,sorted.txt,0.04244828224182129,0.060326337814331055,0.06238508224487305
hash,6000,rand.txt,0.05713224411010742,0.08966445922851562,0.15507173538208008
avl,6000,rand.txt,0.14059185981750488,0.038977861404418945,0.04358696937561035
binary,6000,rand.txt,0.035572052001953125,0.048636674880981445,0.05547332763671875
hash,6000,sorted.txt,0.040328264236450195,0.06121373176574707,0.12531638145446777
avl,6000,sorted.txt,0.15852856636047363,0.036728858947753906,0.038973331451416016
binary,6000,sorted.txt,0.04529929161071777,0.06757569313049316,0.07018852233886719
hash,7000,rand.txt,0.06357002258300781,0.08879590034484863,0.15041542053222656
avl,7000,rand.txt,0.16736721992492676,0.037743330001831055,0.044182777404785156
binary,7000,rand.txt,0.04422640800476074,0.05331754684448242,0.0576014518737793
hash,7000,sorted.txt,0.04649710655212402,0.057563066482543945,0.11939072608947754
avl,7000,sorted.txt,0.19234275817871094,0.035859107971191406,0.044435977935791016
binary,7000,sorted.txt,0.04846954345703125,0.060295820236206055,0.06348824501037598
hash,8000,rand.txt,0.07526469230651855,0.08636307716369629,0.15003728866577148
avl,8000,rand.txt,0.2015230655670166,0.03980588912963867,0.04296159744262695
binary,8000,rand.txt,0.04996824264526367,0.04962277412414551,0.05499529838562012
hash,8000,sorted.txt,0.05579805374145508,0.0729379653930664,0.12159466743469238
avl,8000,sorted.txt,0.2174217700958252,0.03461170196533203,0.03809022903442383
binary,8000,sorted.txt,0.0570521354675293,0.062306880950927734,0.06593608856201172
hash,9000,rand.txt,0.09016585350036621,0.08629488945007324,0.1509852409362793
avl,9000,rand.txt,0.23330259323120117,0.04391026496887207,0.05249619483947754
binary,9000,rand.txt,0.05628800392150879,0.04985833168029785,0.05979776382446289
hash,9000,sorted.txt,0.05769681930541992,0.058984994888305664,0.12148499488830566
avl,9000,sorted.txt,0.25642991065979004,0.03886556625366211,0.04010462760925293
binary,9000,sorted.txt,0.06742119789123535,0.066497802734375,0.07061147689819336
hash,10000,rand.txt,0.09017395973205566,0.09010839462280273,0.14950799942016602
avl,10000,rand.txt,0.2487335205078125,0.0378870964050293,0.04318547248840332
binary,10000,rand.txt,0.0679633617401123,0.053025245666503906,0.059462785720825195
hash,10000,sorted.txt,0.0624239444732666,0.05620598793029785,0.11918234825134277
avl,10000,sorted.txt,0.2675015926361084,0.03397035598754883,0.040798187255859375
binary,10000,sorted.txt,0.07402300834655762,0.06718921661376953,0.07259011268615723
